#			1
BYJI   29.20    1.000   P
WOJI   29.80    1.000   P
CTJI   55.00    1.000   P
KPJI   56.90    1.000   P
#			81
PWJI   21.80    1.000   P
GMJI   22.60    1.000   P
PCJI   25.20    1.000   P
SWJI   27.70    1.000   P
JAGI   29.20    1.000   P
BLJI   30.60    1.000   P
WOJI   30.90    1.000   P
PWJI   38.30    1.000   S
GMJI   39.70    1.000   S
PCJI   44.20    1.000   S
SWJI   46.30    1.000   S
BLJI   53.60    1.000   S
WOJI   55.50    1.000   S
CMJI   60.20    1.000   P
#			82
PCJI   6.10    1.000   P
PWJI   7.30    1.000   P
PCJI   10.20    1.000   S
SWJI   10.30    1.000   P
PWJI   12.00    1.000   S
WOJI   20.90    1.000   P
GMJI   34.00    1.000   P
GMJI   59.70    1.000   S
#			83
SWJI   30.00    1.000   P
TBJI   30.30    1.000   P
PWJI   30.40    1.000   P
NGJI   30.80    1.000   P
GRJI   31.40    1.000   P
WOJI   32.20    1.000   P
